검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,종교
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"73","(팀 켈러의) 답이 되는 기독교 :현대 세속주의를 의심하다 ","팀 켈러 지음 ;윤종석 옮김","두란노","2018","","9788953130296","03230","231","61",
"73","세상에서 가장 쉬운 불교 :자현 스님이 풀어 주는 눈높이 사찰 해설서 ","지은이: 자현 ;그림: 배종훈","담앤북스","2021","","9791162012888","03220","220","61",
"75","디바인 매트릭스, 느낌이 현실이 된다 ","지은이: 그렉 브레이든 ;옮긴이: 김시현","김영사","2021","","9788934906957","03180","204.4","60",
"75","네빌 고다드의 부활 ","지은이: 네빌 고다드 ;옮긴이: 이상민","서른세개의 계단","2009","","9788996093930","03110","235.2","60",
"75","여섯 걸음 =Six steps ","지은이: 원유경","규장","2023","","9791165044282","03230","234.82","60",
"75","기도는 사라지지 않는다 ","지은이: 최상훈","규장","2023","","9791165044312","03230","237.2","60",
"79","세 종교 이야기 :유대교·기독교·이슬람교, 믿음과 분쟁의 역사 ","홍익희 지음","행성비","2014","","9788997132485","03900","209","59",
"79","(인생이 한결 홀가분해지는) 법화경 마음공부 ","페이융 지음 ;허유영 옮김","유노북스","2019","","9791189279509","03220","223.54","59",
"81","왜 예수인가? =Why Jesus ","조정민 지음","두란노","2014","","9788953120228","03230","232","58",
"81","(팀 켈러의) 방탕한 선지자 :높아진 자아, 하나님을 거부하다 ","팀 켈러 지음 ;홍종락 옮김","두란노","2019","","9788953133709","03230","233.492","58",
"81","(만화로 보는)그리스 로마 신화","토머스 불핀치 지음;서영 그림","가나출판사","2005","1","9788957363010","77840","219","58",
"84","인간은 의례를 갈망한다 :삶을 의미 있게 만드는 리추얼의 모든 것 ","지은이: 디미트리스 지갈라타스 ;옮긴이: 김미선","민음사","2024","","9788937456701","03400","217","57",
"84","왕의 재정 :내 삶의 진정한 주인 바꾸기 ","김미진 지음 ;홍성건 감수","규장","2014","","9788960973565","03230","234.8","57",
"86","(미네소타주립대학) 불교철학 강의 :붓다의 생각을 꿰뚫는 스물네 번의 철학 수업 ","홍창성 지음","불광출판사","2019","","9788974796709","03150","220.1","56",
"86","올림포스 연대기 :만화로 보는 그리스 로마 신화 ","김재훈 글·그림","한빛비즈","2022","","9791157845774","03920","219.21","56",
"88","(철학자의 눈으로 본) 첨단과학과 불교 =인공지능과 불멸을 꿈꾸는 시대, 불교는 무엇을 할 수 있는가? /Technology and Buddhism through a philosopher's eyes ","이상헌 지음","살림","2017","","9788952236234","03500","220.4","55",
"88","(만화로 보는)그리스 로마 신화","토머스 불핀치 지음;서영 그림","가나출판사","2005","3","9788957363034","73840","219","55",
"88","매달린 절벽에서 손을 뗄 수 있는가? :무문관, 나와 마주 서는 48개의 질문 ","강신주 지음","동녘","2014","","9788972977193","03100","220.4","55",
"91","신화의 힘 ","조셉 캠벨,이윤기 옮김","21세기북스","2020","","9788950987220","03210","219","54",
"91","깨달음 :내 눈 뜨기 ","지은이: 법륜","정토출판","2012","","9788985961691","03220","224.8","54",
"91","책읽는사자의 신앙의 참견 ","책읽는사자 지음","규장","2020","","9791165041625","03230","234.8","54",
"91","연애 신학 :하나님 나라를 꿈꾸는 연인을 위한 지침서 ","권율 지음","샘솟는기쁨","2020","","9791189303297","03190","234.8","54",
"95","신 없음의 과학 :세계적 사상가 4인의 신의 존재에 대한 탐구 ","리처드 도킨스,장대익 해제","김영사","2019","","9788934999454","03400","204.21","53",
"95","종교는 달라도 인생의 고민은 같다 :오늘이 불안한 요즘 사람들에게 들려주는 4대 종교 성직자의 행복 수업 ","지은이: 성진,박세웅","불광출판사","2024","","9791193454312","03200","201","53",
"97","중국신화전설 ","지은이: 위앤커 ;김선자","민음사","1999","16","9788937460166","04820","219.12","52",
"97","무엇이 성숙인가 =나를 바꾸는 예수의 가르침 /What is maturity ","조정민 지음","두란노","2019","","9788953134706","03230","235.2","52",
"97","인생의 모든 문제에는 답이 있다 :문제에 대한 본질적인 통찰과 7가지 영적 해결법 ","웨인 다이어 지음 ;이재석 옮김","불광출판사","2022","","9788974790134","03190","214","52",
"97","미신의 연대기 :지워진 믿음의 기록 ","이창익 지음","테오리아","2021","","9791187789352","93200","210","52",
"101","세계 5대 종교 역사도감 :지도로 읽는다 ","라이프사이언스 지음 ;노경아 옮김","이다미디어","2016","","9788994597690","04900","209","51",
"101","새롭게 만나는 한국 신화 ","이경덕 지음","원더박스","2020","","9791190136280","03380","219.11","51",
"103","(만화로 보는)그리스 로마 신화","토머스 불핀치 지음;서영 그림","가나출판사","2005","2","9788957363027","77840","219","50",
"103","요가, 몸으로 신화를 그리다 :뒤집히고 얽히고 버티는 신들의 요가 그 안에서 삶의 균형을 배우다 ","클레망틴 에르피쿰 지음 ;류은소라 옮김","미래의창","2020","","9788959896523","03900","219.15","50",
"103","해밀턴의 그리스 로마 신화 ","이디스 해밀턴 [지음] ;서미석 옮김","현대지성","2022","","9791139703603","03840","219.2","50",
"103","최초의 여신 인안나 =Inanna, the first goddess ","김산해 지음","H(휴머니스트출판그룹)","2022","","9791160808308","03910","219.191","50",
"103","네 마음이 어디 있느냐 =For where your treasure is, there your heart will be also but store up for yourselves treasures in heaven ","현승원 지음","규장","2021","","9791165041847","03230","234.8","50",
