검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,역사
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"90","1945년 해방 직후사 :현대 한국의 원형 ","정병준 지음","돌베개","2023","","9791192836485","93910","911.071","122",
"92","30개 도시로 읽는 미국사 :세상을 움직이는 도시가 들려주는 색다른 미국 이야기 ","김봉중 지음","다산북스","2022","","9791130693873","04900","942","121",
"93","나의 문화유산답사기 :국내편","유홍준 지음","창비","2011","9","9788936474393","03810","981.102","119",
"94","퀸즐랜드 자매로드 :여자 둘이 여행하고 있습니다 ","지은이: 황선우,김하나","이야기나무","2022","","9791185860572","00980","986.2102","118",
"94","요즘 어른을 위한 최소한의 한국사 ","임소미 지음","빅피시","2024","","9791193128992","03910","911","118",
"96","도쿄 여행백서 :현지에서 전하는 생생한 정보, 디테일에 강한 도쿄바이블! ","박정연,후카사와 요시노리 공저","나무자전거","2023","","9788998417567","14980","981.32302","117",
"97","(셀프트래블) 호주 ='23~'24 최신판 /Australia ","앨리스 리,조윤희 지음","상상출판","2023","","9791167821386","14980","986.202","116",
"97","(모험하고 싸우고 기도하고 조각하는) 중세 유럽인 이야기 ","주경철 지음","휴머니스트출판그룹","2023","","9791170870661","03920","920.3","116",
"99","리얼 후쿠오카 :2024~2025년 최신판 ","지은이: 원경혜 ;일러스트: 김슬기","한빛라이프","2023","","9791193080122","14980","981.3402","115",
"99","우리들의 발리 여행 :쉽고 새로운 여행의 시작 ","임현지 지음","Note & Knot(노트앤노트)","2023","","9791197880438","14980","981.4702","115",
"101","국화와 칼 :일본 문화의 틀 ","루스 베네딕트 지음 ;오인석 옮김","을유문화사","2019","","9788932474137","03300","913","114",
"101","그 해, 몽골 :별, 사막, 호수 찾아 고비사막과 홉스골로 떠난 두 번의 몽골 여행 ","글·사진: 신미영","푸른향기","2023","","9788967821876","03910","981.2602","114",
"101","지도로 보는 인류의 흑역사 :세상에서 가장 불가사의하고 매혹적인 폐허 40 ","트래비스 엘버러 지음 ;성소희 옮김","한겨레엔","2023","","9791160405170","03980","909","114",
"101","조선왕조실톡","무적핑크 지음 ;이한 해설","이마","2015-2016","1","9791195434077","04910","911.05","114",
"105","(프렌즈) 싱가포르 =최신판 '23~'24 /Singapore ","박진주 지음","중앙일보에스","2023","","9788927879695","14980","981.46902","113",
"105","세금의 세계사 :뺏고 싶은 자와 뺏기기 싫은 자의 잔머리 진화사 ","도미닉 프리스비 지음 ;조용빈 옮김","한빛비즈","2022","","9791157845651","03900","909","113",
"105","(하룻밤에 읽는) 영국사 ","안병억 지음","페이퍼로드(paperroad)","2020","","9791190475181","03920","924","113",
"105","리얼 오사카 :2024~2025년 최신판 ","지은이: 황성민,지도·일러스트: 이예연","한빛라이프","2024","","9791193080177","14980","981.32802","113",
"109","여든아홉이 되어서야 이 이야기를 꺼냅니다 :박제된 역사 뒤 살아 있는 6·25전쟁 이야기 ","한준식 지음","RHK(알에이치코리아)","2019","","9788925566030","03810","911.0723","112",
"109","셀프트래블 도쿄 =믿고 보는 해외여행 가이드북 /Tokyo ","김미정,백진수 지음","상상출판","2023","","9791167821379","14980","981.32302","112",
"109","하루쯤 나 혼자 어디라도 가야겠다 :가볍게 떠나는 30가지 일상 탈출 여행법 ","장은정 지음","북라이프","2021","","9791191013320","13980","981.102","112",
"109","리얼 도쿄 :2024~2025년 최신판 ","양미석 지음","한빛라이프","2024","","9791193080252","14980","981.32302","112",
"109","벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼","tvN story <벌거벗은 한국사> 제작팀,최태성 지음","프런트페이지","2022","","9791197871238","04910","911","112",
"114","(프렌즈) 방콕 =최신판 '23~'24 /Bangkok ","안진헌 지음","중앙일보에스","2023","","9788927879626","14980","981.44502","111",
"114","(프렌즈) 스위스 =최신판 '23~'24 /Switzerland ","황현희 지음","중앙일보에스","2023","","9788927879855","14980","982.5902","111",
"114","30개 도시로 읽는 일본사 :익숙하고 낯선 도시가 들려주는 일본의 진짜 역사 이야기 ","지은이: 조 지무쇼 ;옮긴이: 전선영","다산북스","2021","","9791130677965","04910","913","111",
"117","썰의 흑역사 :인간은 믿고 싶은 이야기만 듣는다 ","톰 필립스,홍한결 옮김","윌북","2024","","9791155817032","03900","909","109",
"117","벌거벗은 세계사 :벗겼다, 세상을 뒤바꾼 인물","지은이: tvN <벌거벗은 세계사> 제작팀,조한욱","교보문고","2022","","9791159095894","03900","909","109",
