검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,언어
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"89","영어를 네이티브처럼 말하고 쓰는 법 =원어민처럼 자연스러운 영어에는 원리가 있다! /How to speak & write English like a native ","최정숙 지음","동양북스","2024","","9791172100346","13740","747.5","95",
"91","영어 단어의 결정적 뉘앙스들 ","케빈 강,해나 변 저","사람in","2020","","9788960498617","14740","744","94",
"92","일본어 문법 무작정 따라하기 ","후지이 아사리 지음","길벗","2020","","9791165211431","03730","735","93",
"93","(센스 있는) 현지 영어회화 :50개 상황에서 원어민처럼 살아남기 ","에디 리 지음","넥서스","2024","","9791166836633","13740","747.5","92",
"93","우리말 맞춤법 수업 :한 권으로 끝내는 가장 쉬운 맞춤법 책 ","배상복 지음","사람in","2023","","9791171010257","13710","711.25","92",
"93","일본어 의성어 의태어 사전 :이 책 하나로 뉘앙스 마스터 ","권하영,전하나 지음","제이브리지","2022","","9791197683411","13730","734","92",
"96","(힘내라!) 독학 일본어 첫걸음 ","유세미 지음","다락원","2017","","9788927711490","18730","730","91",
"97","수상한 단어들의 지도 :꼬리에 꼬리를 무는 어원의 지적 여정 ","데버라 워런 지음 ;홍한결 옮김","윌북","2023","","9791155816493","03740","742","90",
"97","(구슬쌤의) 예의 바른 영어 표현에 더하여 ","구슬 지음","사람in","2023","","9791171010196","13740","747.5","90",
"99","나는 유튜브로 영어를 배웠다 :영어 에듀테이너 날라리데이브가 알려주는 영어 공부법 ","김영기 지음","라곰","2019","","9791189686079","03320","740","89",
"99","너를 국어1등급으로 만들어주마","지은이: 김범준","메리포핀스북스","2022","","9791196427351","53700","710","89",
"99","정확한 말, 세련된 말, 배려의 말 :문해력을 높이고 언어 감수성을 키우는 우리말 핵심 표현 100 ","강성곤 지음 ;이크종 그림","노르웨이숲","2023","","9791197791796","03700","710","89",
"102","가장 쉬운 독학 일본어 첫걸음 ","지은이: 김연수","동양북스","2016","","9791157031825","03730","730","88",
"102","센스 있는 영어 표현 ","에디 리 지음","넥서스","2022","","9791166834226","13740","747.5","88",
"104","챗GPT 독학 영어 혁명 :새로운 세대의 신개념 영어 공부법 ","의학노트쌤 지음","넥서스","2023","","9791166835940","13740","740.7","87",
"104","일본어를 군것질로 배웠습니다만? ","김수민 지음","Raspberry(라즈베리)","2019","","9791187152255","13730","737.5","87",
"104","책 쓰자면 맞춤법 ","지은이: 박태하","xbooks(엑스북스)","2015","","9791195346387","03700","711.25","87",
"107","(신지영 교수의) 언어감수성 수업 :관계의 거리를 좁히는 말하기의 힘 ","신지영 지음","인플루엔셜","2024","","9791168341982","03700","710.13","86",
"108","일본어회화 100일의 기적 :100일 후에는 나도 일본어로 말한다! ","윤선경 지음","넥서스","2018","","9791161653464","13730","737.5","85",
"108","어른의 맞춤법 :더도 말고 100개만 알면 기본은 한다! ","신선해,정지영 지음","앤의서재","2020","","9791190710121","03800","711.25","85",
"110","(New) 일본어 상용한자 기초 마스터 1026 ","지은이: 한선희,이이호시 카즈야","다락원","2020","","9788927712305","13730","731.44","84",
"111","Enjoy 여행 일본어 :일본여행 처음 갈 때 이책! ","넥서스콘텐츠개발팀 지음","넥서스","2016","","9791157527038","13730","737.5","83",
"111","네이티브 일본어에 진심입니다 :인스타에서 온 표현맛집 데일리 니홍고 ","저자: 데일리 니홍고","동양북스","2021","","9791157687541","13730","737.5","83",
"111","일빵빵 + 입에 달고 사는 기초영어","저자: 서장혁","토마토출판사","2014","1","9791185419022","14740","747.5","83",
"111","마구로센세의 본격! 일본어 스터디 :초급","글: 최유리 ;그림: 나인완","BS(브레인스토어)","2018","1","9791188073221","04730","735","83",
"115","어른의 말글 감각 :빨리감기의 시대, 말과 글을 만지고 사유하는 법 ","김경집 지음","김영사","2023","","9788934976561","03700","701","82",
"115","(미국적인 너무나 미국적인) 영어회화 이디엄 ","김아영,제니퍼 그릴 지음","사람in","2020","","9788960498228","13740","747.5","82",
"115","27년 동안 영어 공부에 실패했던 39세 김과장은 어떻게 3개월 만에 영어 천재가 됐을까 :90일의 독한 훈련이 만드는 기적 같은 변화 ","김영익 지음","비즈니스북스","2018","","9791162540183","03190","740.7","82",
"115","100% 네이티브 영국 영어 :진짜 생생한 영국 영어를 체험하다 ","브릿센트 지음","넥서스","2022","","9791166833014","13740","747.5","82",
"115","(골목식당을 가기 위한) 기초 일본어 ","저자: Mr. Sun","Old Stairs","2023","","9791170790044","13730","730","82",
"120","이현석의 입이 트이는 영어 최고의 스피킹 60","이현석 지음","한국교육방송공사(EBS)","2020","","9788954753937","14740","747.5","81",
"120","(하루 5분 국민 영어과외 김영철·타일러의) 진짜 미국식 영어","김영철,타일러 지음","위즈덤하우스","2018","2","9791162204122","13740","747.5","81",
"122","일본어 단어 무작정 따라하기 :기초 단어부터 뉘앙스, 발음까지 완벽하게! ","후지이 아사리 지음","길벗","2024","","9791140709267","03730","734","80",
"123","일본어 상용한자 무작정 따라하기","권경배 지음","길벗","2023","2","9791140701476","03730","731.44","78",
"123","바로 쓰는 영어 :어색한 표현 대신 원어민처럼 자연스러운 영어를 말한다! ","셀리 지음","넥서스","2022","","9791166833069","13740","747.5","78",
"123","원리를 깨우치는 영문법 :딱 한 권으로 암기 없이 영문법 완성하기 ","이동현 지음","넥서스","2024","","9791166836640","13740","745","78",
"123","지구에서 영어생활자로 살아남는 법 :발음에 집착하는 당신이 알아야 할 일터의 언어, 태도에 관하여 ","백애리 지음","그래도봄","2023","","9791192410142","03810","740.4","78",
"123","키위엔 영어표현 :실전 대화 완성편 ","박강준 지음","키위엔","2023","","9791198002914","13740","747.5","78",
"128","(애매~한 영어 실력이 네이티브급으로 점프하는) 네이티브력 급상승 영어 문장 300 입버릇 훈련 ","권주현,김기성 지음","에스제이더블유인터내셔널","2023","","9791161507170","13740","747.5","77",
"128","(10문장으로 끝내는) 여행 일본어 회화 ","니키 지음","바이링구얼","2017","","9791185980188","13730","737.5","77",
"130","영어 스피킹 100일의 기적 :하루 10분, 내 생각을 영어로 자유롭게 말한다! ","제니 리 지음","넥서스","2024","","9791166837661","13740","747.5","76",
"131","(그림과 함께 걸어 다니는) 어원 사전 :일러스트 특별판 ","마크 포사이스 지음 ;홍한결 옮김","윌북","2023","","9791155816233","03740","742","74",
"131","(20일 만에 네이티브와 수다 떨 수 있는) 기적의 말하기 영단어 1000 ","저자: 이시원","에스제이더블유인터내셔널","2019","","9791161502199","13740","744","74",
"133","쓰이는 영문법 =Why is English like that? ","김수영 지음","길벗","2023","2","9791140703968","04740","745","73",
"133","우리말 어휘력 사전 :말힘과 글힘의 기초를 다지는 단어 수업 ","박영수 지음","유유","2022","","9791167700247","03710","714","73",
"133","나도 이제 영어로 읽는다 :사전 없이도 읽을 수 있는 단계별 영어원서 ","지은이: 앙투안 마리 로제 드 생텍쥐페리 ;영어번역: 스티브 오","동행","2020","","9791197005619","14740","747.2","73",
"136","(버전업! 굿모닝 독학) 일본어 첫걸음 ","정선영 지음","동양북스","2023","","9791157689040","03730","730","72",
"136","긴 인생을 위한 짧은 영어 책 :이것은 지금도 영어가 두려운 당신을 위한 이야기 ","박혜윤 지음","동양북스","2024","","9791172100070","03810","740.4","72",
"136","전치사 덕분에 영어공부가 쉬워졌습니다 :전치사 핵심 이미지 캐릭터 도감 ","세키 마사오 저 ;키출판사 역","키출판사","2019","","9791189719395","13740","745.7","72",
"139","통역의 바이블 =통번역 전공자와 비즈니스 실무자를 위한 국제회의 전문용어·교양·상식 /Interpreters' bible ","임종령 지음","길벗이지톡","2023","","9791140703838","03740","747","71",
"139","언어가 삶이 될 때 :김미소 에세이 ","지은이: 김미소","한겨레엔","2022","","9791160407907","03700","740.4","71",
"139","(나혼자 끝내는) 독학 스페인어 첫걸음 ","임창희 지음","넥서스","2017","","9791161650630","18770","770","71",
"142","일빵빵+ 스토리가 있는 영어회화 ","저자: 서장혁","토마토출판사","2012","1","9788996895107","13740","747.5","70",
"142","(15개 템플릿으로 끝내는) TOEIC speaking :필수 전략서 ","저자: 황인기,서가은","에스제이더블유인터내셔널","2020","","9791161503073","13740","740.77","70",
"142","영어 표현의 결정적 뉘앙스들 ","케빈 강,해나 변 저","사람in","2023","","9791171010059","14740","747.5","70",
"145","(동사 중심) 네이티브 영어표현력 사전 =동사 36개로 풀어낸 진짜 영어의 기술 /English expression power-up dictionary verbs in action ","지은이: 이창수","Darakwon(다락원)","2020","","9788927701330","13740","747.5","69",
"145","번역, 이럴 땐 이렇게 :분야별, 상황별, 주제별 영어 번역 강의 ","지은이: 조원미","부키","2013","","9788960513204","13740","747","69",
"145","해커스 토익 보카 =Hackers vocabulary ","지은이: David Cho","해커스 어학연구소","2014","","9788965420705","13740","740.77","69",
